ID,plot_num,plot_type,species,DBH_cm,dist_m,aspect_degrees
1,2,gap,ULAM,23,4.87,228
2,2,gap,ACSA,34,9.42,228
3,2,gap,ACSA,14.6,9.44,232
4,2,gap,ACSA,10,10.66,235
5,2,gap,ACSA,10.2,9.36,252
6,2,gap,BEAL,24.2,6.86,270
7,2,gap,BEAL,20.3,7.22,270
8,2,gap,BEAL,22.8,7.92,272
9,2,gap,BEAL,23.7,7.7,272
10,2,gap,BEPA,25.5,7.83,325
11,2,gap,BEPA,26.8,7,325
12,2,gap,BEAL,13.9,4.66,342
13,2,gap,OSVI,20.7,8.57,351
14,2,gap,FRAM,35.3,4.26,1
15,2,gap,OSVI,19,3.72,22
16,2,gap,OSVI,10,4.9,22
17,2,gap,FRAM,25.9,5.27,21
18,2,gap,FRAM,40.7,7.73,23
19,2,gap,BEAL,15.7,8.77,22
20,2,gap,BEAL,36.5,10,58
21,2,gap,BEAL,12.2,9.9,56
22,2,gap,FAGR,43.2,6.54,145
23,2,gap,FAGR,18.8,9.18,124
24,2,gap,OSVI,19.2,11.09,89
