ID,plot_num,plot_type,species,DBH_cm,dist_m,aspect_degrees
1,1,gap,OSVI,23.2,2.9,258
2,1,gap,OSVI,24,3.18,358
3,1,gap,FRAM,37.5,9.47,355
4,1,gap,ACSA,10.4,9.29,356
5,1,gap,BEPA,27.5,11.28,12
6,1,gap,FRAM,24.8,11.23,12
7,1,gap,OSVI,10.1,10.25,36
8,1,gap,ACSA,16,6.87,0
9,1,gap,OSVI,22.1,6.66,44
10,1,gap,FAGR,21.9,3.73,77
11,1,gap,ACSA,21.5,6.71,78
12,1,gap,POSP,41.1,10.73,65
13,1,gap,ACSA,35.6,8.65,148
14,1,gap,ACSA,16.6,10.35,158
15,1,gap,ACSA,15,9.1,162
16,1,gap,ACSA,24.9,3.49,184
17,1,gap,FRAM,36.2,6,197
18,1,gap,BEPA,16.3,10.71,190
19,1,gap,ACSA,16.9,6.12,221
20,1,gap,ACSA,12.5,8.92,228
21,1,gap,PIRU,11.8,8.92,228
22,1,gap,ACSA,11.2,9.25,227
23,1,gap,FRAM,39.6,10.67,230
24,1,gap,BEAL,34,8.67,230
25,1,gap,PIRU,11.3,10.35,240
26,1,gap,ACSA,11.3,8.73,283
27,1,gap,OSVI,31.3,7.29,306
